,feature,weight,abs_weight
0,snv_ms_SBS5,-0.7256925623042499,0.7256925623042499
1,snv_ms_driver_BRAF_Intron,0.6182114810599716,0.6182114810599716
2,snv_ms_SBS1,-0.6069581796584754,0.6069581796584754
3,cna_loss_Mb,-0.5923609831946594,0.5923609831946594
4,snv_ms_driver_STAG2_Intron,-0.5845767888747297,0.5845767888747297
5,snv_chr_17,-0.5388182077337356,0.5388182077337356
6,snv_ms_SBS8,-0.5148253354895821,0.5148253354895821
7,snv_chr_14,-0.4980643968713257,0.4980643968713257
8,cna_frac_altered,-0.47682664825698673,0.47682664825698673
9,snv_chr_12,-0.4670732565487955,0.4670732565487955
